date,ko_price_usd,pep_price_usd,residual_usd,z_score,ko_shares,pep_shares,gross_pnl_usd,transaction_cost_usd,borrow_cost_usd,financing_cost_usd,net_pnl_usd,equity_usd
2023-10-11,49.88172149658203,149.0408935546875,-4.546414469713454,-0.01766482744956829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2023-10-12,49.045875549316406,144.88002014160156,-3.99042653400123,0.714931951192936,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,100000.0
2023-10-13,49.120174407958984,146.63966369628906,-4.504737632507343,0.01866211215374053,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,100000.0
2023-10-16,49.62168502807617,147.62950134277344,-4.334332873647838,0.24025159940575658,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,100000.0
2023-10-17,50.216068267822266,146.97877502441406,-3.522278282596133,1.30801181510307,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,100000.0
2023-10-18,50.197486877441406,148.50018310546875,-4.049778620231805,0.5658428490758542,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,100000.0
2023-10-19,50.47610855102539,147.15292358398438,-3.3204916018985386,1.5163343292754077,-2006.0275136894281,671.02667794645,0.0,100.0,-0.0,0.0,-100.0,99900.0
2023-10-20,50.680423736572266,146.63966369628906,-2.9444883038940617,1.952909671778997,-2006.0275136894281,671.02667794645,-754.2729610349454,0.0,4.018113592751235,19.591971718783505,-777.8830463464801,99122.11695365352
2023-10-23,50.22535705566406,146.7130126953125,-3.424090607972694,1.2505634135300907,-2006.0275136894281,671.02667794645,962.0954176105778,0.0,4.034377953214394,19.523636187560612,938.5374034698027,100060.65435712332
2023-10-24,51.674156188964844,148.6468048095703,-2.6221550343261413,2.2212902172826645,-2006.0275136894281,671.02667794645,-1608.7048249413026,0.0,3.99815270391022,19.53340188897835,-1632.2363795341912,98428.41797758912
2023-10-25,52.11994552612305,148.79344177246094,-2.2254165269303314,2.5792653923874047,0.0,0.0,-795.8683615760755,102.19920683509503,4.113483296101124,19.790867384666736,-921.9719190919384,97506.44605849718
2023-10-26,51.804176330566406,147.9319610595703,-2.25301592574138,2.372275223315499,-1974.5638707598125,660.5019250968129,-0.0,100.00000000000001,-0.0,0.0,-100.00000000000001,97406.44605849718
2023-10-27,51.302677154541016,146.29139709472656,-2.2057378892034833,2.2802548562097855,-1974.5638707598125,660.5019250968129,-93.35350282820514,0.0,4.05915297368282,19.386774814125587,-116.79943061601354,97289.64662788117
2023-10-30,52.1478157043457,148.7292938232422,-2.1760885247408552,2.1795256913706607,-1974.5638707598125,660.5019250968129,-58.544563858885795,0.0,4.019857650103631,19.17177567582722,-81.73619718481665,97207.91043069636
2023-10-31,52.46357727050781,149.64578247070312,-2.1668971966659996,2.0698231979338,-1974.5638707598125,660.5019250968129,-18.148864340911814,0.0,4.08607908050961,19.49126684296448,-41.726210264385905,97166.18422043197
2023-11-01,52.417144775390625,151.10302734375,-2.700785710926567,1.4316638839106361,-1974.5638707598125,660.5019250968129,1054.1969712725515,0.0,4.11082080195081,19.61137448502347,1030.4747759855773,98196.65899641755
2023-11-02,53.020809173583984,152.8993682861328,-2.6980067376840395,1.3822421051085454,-1974.5638707598125,660.5019250968129,-5.487260162501798,0.0,4.107182550867968,19.802349295337947,-29.396792008707713,98167.26220440885
2023-11-03,52.69575881958008,152.86270141601562,-3.0107918321750446,1.031262700586685,-1974.5638707598125,660.5019250968129,617.6141468941233,0.0,4.154483102881325,20.03776331330899,593.421900477933,98760.68410488678
2023-11-06,52.90936279296875,152.78021240234375,-2.7695948529907923,1.233572458377877,-1974.5638707598125,660.5019250968129,-476.2588408336227,0.0,4.129013551881569,20.03295804777334,-500.42081243327755,98260.2632924535
2023-11-07,53.104393005371094,153.2201385498047,-2.721722234020241,1.2409136230037274,-1974.5638707598125,660.5019250968129,-94.52754381790663,0.0,4.145750642695221,20.022147700088894,-118.69544216069075,98141.5678502928
2023-11-08,53.020809173583984,153.41259765625,-2.869684641852409,1.0613709997363618,-1974.5638707598125,660.5019250968129,292.1612247360331,0.0,4.1610323732950745,20.079800888044918,267.9203914746931,98409.4882417675
2023-11-09,52.6214599609375,152.2853240966797,-2.8919549626824335,1.0122723213980926,-1974.5638707598125,660.5019250968129,43.97417090119745,0.0,4.154483102881325,20.105023032947603,19.71466476536853,98429.20290653287
2023-11-10,52.67718505859375,152.98184204101562,-3.0692187543252345,0.8225918651252294,-1974.5638707598125,660.5019250968129,350.0186785717679,0.0,4.123191812123065,19.95729161306528,325.9381951465796,98755.14110167944
2023-11-13,52.872215270996094,153.7608642578125,-3.134775541162135,0.7624087433059895,-1974.5638707598125,660.5019250968129,129.4460627712424,0.0,4.127558191667771,20.048571661299082,105.26993291827554,98860.41103459772
2023-11-14,53.030094146728516,154.07249450683594,-3.081138610927873,0.8255117198520974,-1974.5638707598125,660.5019250968129,-105.90954457903871,0.0,4.1428399222676235,20.150664056911683,-130.20304855821803,98730.2079860395
2023-11-15,53.132259368896484,153.2843017578125,-2.7153187986062832,1.1760354751962456,-1974.5638707598125,660.5019250968129,-722.3345846183502,0.0,4.155210633536569,20.191503814728822,-746.6812990666156,97983.52668697288
2023-11-16,53.076534271240234,153.70590209960938,-2.912071412010178,0.9916827930114004,-1974.5638707598125,660.5019250968129,388.5006019049038,0.0,4.163215861970737,20.088209602808718,364.24917644012436,98347.775863413
2023-11-17,53.17869186401367,152.83518981933594,-2.5186560149983066,1.3481149330178177,-1974.5638707598125,660.5019250968129,-776.8238291402646,0.0,4.158849482426031,20.143461157844097,-801.1261397805347,97546.64972363246
2023-11-20,53.308719635009766,152.61524963378906,-2.315057103503243,1.5130150504631321,-1974.5638707598125,660.5019250968129,-402.0190547641785,0.0,4.166854113053578,20.02935259885083,-426.21526147608296,97120.43446215638
2023-11-21,53.89380645751953,153.7883758544922,-2.1223871273818347,1.6423487298809907,-1974.5638707598125,660.5019250968129,-380.4391738294795,0.0,4.177042531260099,20.000529004414357,-404.616745365154,96715.81771679122
2023-11-22,54.256011962890625,155.08978271484375,-2.1955090121881184,1.5200035896944295,-1974.5638707598125,660.5019250968129,144.38383190034517,0.0,4.2228874241563465,20.154269505834186,120.00667497035465,96835.82439176158
2023-11-24,54.39531707763672,155.22723388671875,-2.1021820321454214,1.5479153164916313,-1974.5638707598125,660.5019250968129,-184.2800829594363,0.0,4.251268293390317,20.324821437698557,-208.85617269052517,96626.96821907104
2023-11-27,54.29315948486328,154.26492309570312,-1.882441640548933,1.678821527184598,-1974.5638707598125,660.5019250968129,-433.89143819303376,0.0,4.2621836444454635,20.342834684450587,-458.4964565219298,96168.47176254912
2023-11-28,54.40460205078125,154.75987243652344,-1.9365622135490383,1.566567993002115,-1974.5638707598125,660.5019250968129,106.864528110825,0.0,4.254179013817915,20.216721960242797,82.3936271367643,96250.86538968589
2023-11-29,54.07955551147461,153.20181274414062,-1.7404296502325778,1.6722743623438487,-1974.5638707598125,660.5019250968129,-387.27627340419383,0.0,4.262911175100708,20.281586046043834,-411.8207706253384,95839.04461906054
2023-11-30,54.70675277709961,155.41354370117188,-1.8530679384472322,1.5175826142777116,-1974.5638707598125,660.5019250968129,222.41149437288664,0.0,4.237441923004264,20.07739925512427,198.0966531947581,96037.1412722553
2023-12-01,54.89398193359375,155.782958984375,-1.789410123113079,1.5119206992463703,-1974.5638707598125,660.5019250968129,-125.69642225031663,0.0,4.286586409533727,20.367250952528114,-150.35025961237847,95886.79101264293
2023-12-04,54.82844543457031,156.19851684570312,-1.993952896616122,1.2963357520333398,-1974.5638707598125,660.5019250968129,403.8827705841064,0.0,4.301256882865718,20.41566355286856,379.1658501483721,96265.95686279131
2023-12-05,54.912696838378906,155.09033203125,-1.5390078859060239,1.602326314760201,-1974.5638707598125,660.5019250968129,-898.3179813305884,0.0,4.29612172400906,20.47012322893926,-923.0842262835367,95342.87263650777
2023-12-06,54.85653305053711,154.6932373046875,-1.4623414142539133,1.6013102772713768,-1974.5638707598125,660.5019250968129,-151.38284502289244,0.0,4.302723302501967,20.324893426695347,-176.01046175208975,95166.86217475569
